timestamp,symbol,strategy,ema20,ema50,ema200,close,adx,rsi,adx_rising
2025-04-11 20:19:13,UNKNOWN,trend,187.59,188.08,189.61,188.16,36.79,56.05,0
2025-04-11 20:19:13,UNKNOWN,reversion,187.59,188.08,189.61,188.16,36.79,56.05,0
2025-04-11 20:19:13,UNKNOWN,short_trend,187.59,188.08,189.61,188.16,36.79,56.05,0
2025-04-11 20:19:13,UNKNOWN,trend,109.11,109.05,108.7,108.8,22.13,38.03,1
2025-04-11 20:19:13,UNKNOWN,reversion,109.11,109.05,108.7,108.8,22.13,38.03,0
2025-04-11 20:19:13,UNKNOWN,short_trend,109.11,109.05,108.7,108.8,22.13,38.03,0
2025-04-11 20:19:13,UNKNOWN,trend,252.13,252.22,251.77,251.21,23.66,30.99,1
2025-04-11 20:19:13,UNKNOWN,reversion,252.13,252.22,251.77,251.21,23.66,30.99,0
2025-04-11 20:19:13,UNKNOWN,short_trend,252.13,252.22,251.77,251.21,23.66,30.99,0
2025-04-11 20:19:14,UNKNOWN,trend,386.65,385.7,383.84,386.81,42.17,54.69,0
2025-04-11 20:19:14,UNKNOWN,reversion,386.65,385.7,383.84,386.81,42.17,54.69,0
2025-04-11 20:19:14,UNKNOWN,short_trend,386.65,385.7,383.84,386.81,42.17,54.69,0
2025-04-11 20:19:14,UNKNOWN,trend,536.69,535.75,538.57,537.36,27.64,55.87,1
2025-04-11 20:19:14,UNKNOWN,reversion,536.69,535.75,538.57,537.36,27.64,55.87,0
2025-04-11 20:19:14,UNKNOWN,short_trend,536.69,535.75,538.57,537.36,27.64,55.87,0
2025-04-11 20:19:14,UNKNOWN,trend,93.06,91.96,90.44,93.94,36.27,63.47,0
2025-04-11 20:19:14,UNKNOWN,reversion,93.06,91.96,90.44,93.94,36.27,63.47,0
2025-04-11 20:19:14,UNKNOWN,short_trend,93.06,91.96,90.44,93.94,36.27,63.47,0
2025-04-11 20:19:14,UNKNOWN,trend,915.31,916.19,918.39,916.99,22.05,55.95,0
2025-04-11 20:19:14,UNKNOWN,reversion,915.31,916.19,918.39,916.99,22.05,55.95,0
2025-04-11 20:19:14,UNKNOWN,short_trend,915.31,916.19,918.39,916.99,22.05,55.95,0
2025-04-11 20:20:15,UNKNOWN,trend,187.59,188.08,189.61,188.16,36.79,56.05,0
2025-04-11 20:20:15,UNKNOWN,reversion,187.59,188.08,189.61,188.16,36.79,56.05,0
2025-04-11 20:20:15,UNKNOWN,short_trend,187.59,188.08,189.61,188.16,36.79,56.05,0
2025-04-11 20:20:15,UNKNOWN,trend,109.11,109.05,108.7,108.8,22.13,38.03,1
2025-04-11 20:20:15,UNKNOWN,reversion,109.11,109.05,108.7,108.8,22.13,38.03,0
2025-04-11 20:20:15,UNKNOWN,short_trend,109.11,109.05,108.7,108.8,22.13,38.03,0
2025-04-11 20:20:15,UNKNOWN,trend,252.13,252.22,251.77,251.21,23.66,30.99,1
